iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
  10  1.634474e+04    1.23e-07    6.32e-01   4.41e-03   1.20e+00  5.90e+08        1    5.92e-02    7.20e-01
  11  1.634474e+04    4.72e-09    1.43e-01   8.97e-04   1.12e+00  1.77e+09        1    6.52e-02    7.85e-01
  12  1.634474e+04    4.91e-10    2.91e-02   1.82e-04   2.65e+00  5.31e+09        1    7.21e-02    8.57e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  2.179060e+04    0.00e+00    3.01e+03   0.00e+00   0.00e+00  1.00e+04        0    5.65e-02    2.18e-01
   1  2.172610e+04    6.45e+01    3.20e+02   8.20e-01   1.00e+00  3.00e+04        1    1.32e-01    3.51e-01
   2  2.172604e+04    5.91e-02    8.17e+01   5.62e-01   1.01e+00  9.00e+04        1    8.17e-02    4.33e-01
   3  2.172601e+04    3.69e-02    9.66e+01   7.37e-01   1.01e+00  2.70e+05        1    8.27e-02    5.15e-01
   4  2.172600e+04    8.97e-03    7.21e+01   4.30e-01   1.02e+00  8.10e+05        1    8.12e-02    5.97e-01
   5  2.172600e+04    5.75e-04    1.93e+01   1.11e-01   1.05e+00  2.43e+06        1    8.41e-02    6.81e-01
   6  2.172600e+04    2.30e-05    2.61e+00   4.25e-02   1.12e+00  7.29e+06        1    8.06e-02    7.62e-01
   7  2.172600e+04    9.30e-07    1.02e+00   1.06e-02   1.14e+00  2.19e+07        1    8.13e-02    8.43e-01
   8  2.172600e+04    2.75e-08    2.56e-01   1.82e-03   1.14e+00  6.56e+07        1    7.79e-02    9.21e-01
   9  2.172600e+04    8.51e-10    4.12e-02   2.85e-04   1.46e+00  1.97e+08        1    8.18e-02    1.00e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  3.094065e+04    0.00e+00    7.23e+04   0.00e+00   0.00e+00  1.00e+04        0    3.49e-02    1.62e-01
   1  3.062931e+04    3.11e+02    1.02e+03   6.51e+00   1.00e+00  3.00e+04        1    1.20e-01    2.82e-01
   2  3.062493e+04    4.38e+00    1.32e+03   5.82e+00   1.01e+00  9.00e+04        1    7.54e-02    3.57e-01
   3  3.062361e+04    1.31e+00    1.36e+03   3.65e+00   1.01e+00  2.70e+05        1    7.44e-02    4.32e-01
   4  3.062348e+04    1.31e-01    1.71e+03   1.29e+00   1.02e+00  8.10e+05        1    7.50e-02    5.07e-01
   5  3.062347e+04    9.14e-03    3.28e+02   6.70e-01   1.04e+00  2.43e+06        1    7.35e-02    5.80e-01
   6  3.062347e+04    3.16e-04    1.71e+01   1.50e-01   1.06e+00  7.29e+06        1    7.34e-02    6.54e-01
   7  3.062347e+04    4.45e-06    1.63e+00   1.71e-02   1.08e+00  2.19e+07        1    7.27e-02    7.27e-01
   8  3.062347e+04    4.24e-08    2.97e-01   1.54e-03   1.08e+00  6.56e+07        1    7.25e-02    7.99e-01
   9  3.062347e+04    2.36e-10    2.74e-02   1.36e-04   7.92e-01  8.19e+07        1    7.68e-02    8.76e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  3.074439e+04    0.00e+00    2.51e+04   0.00e+00   0.00e+00  1.00e+04        0    4.19e-02    1.58e-01
   1  3.068326e+04    6.11e+01    3.14e+02   1.50e+00   1.00e+00  3.00e+04        1    1.11e-01    2.69e-01
   2  3.068307e+04    1.93e-01    2.12e+02   1.16e+00   1.01e+00  9.00e+04        1    7.93e-02    3.48e-01
   3  3.068302e+04    4.84e-02    1.05e+02   8.85e-01   1.01e+00  2.70e+05        1    7.82e-02    4.27e-01
   4  3.068301e+04    3.52e-03    1.01e+01   3.37e-01   1.01e+00  8.10e+05        1    7.61e-02    5.03e-01
   5  3.068301e+04    1.03e-04    1.99e+00   8.29e-02   1.03e+00  2.43e+06        1    7.52e-02    5.78e-01
   6  3.068301e+04    2.42e-06    1.93e+00   1.35e-02   1.06e+00  7.29e+06        1    7.31e-02    6.51e-01
   7  3.068301e+04    3.21e-08    2.57e-01   1.39e-03   1.09e+00  2.19e+07        1    7.48e-02    7.26e-01
   8  3.068301e+04    1.06e-10    2.52e-02   1.22e-04   3.28e-01  2.10e+07        1    7.49e-02    8.01e-01
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  3.707559e+04    0.00e+00    5.85e+04   0.00e+00   0.00e+00  1.00e+04        0    5.75e-02    1.95e-01
   1  3.678645e+04    2.89e+02    4.91e+04   1.12e+01   1.00e+00  3.00e+04        1    1.26e-01    3.22e-01
   2  3.676120e+04    2.53e+01    2.50e+04   1.50e+01   1.00e+00  9.00e+04        1    9.47e-02    4.16e-01
   3  3.675273e+04    8.46e+00    1.78e+04   1.31e+01   1.01e+00  2.70e+05        1    8.46e-02    5.01e-01
   4  3.675175e+04    9.84e-01    3.83e+03   6.60e+00   1.01e+00  8.10e+05        1    8.10e-02    5.82e-01
   5  3.675168e+04    6.57e-02    1.67e+03   2.13e+00   1.03e+00  2.43e+06        1    8.07e-02    6.63e-01
   6  3.675168e+04    1.97e-03    6.18e+01   3.71e-01   1.05e+00  7.29e+06        1    7.82e-02    7.41e-01
   7  3.675168e+04    2.06e-05    1.91e+00   3.57e-02   1.06e+00  2.19e+07        1    1.17e-01    8.59e-01
   8  3.675168e+04    1.36e-07    4.72e-01   2.64e-03   1.07e+00  6.56e+07        1    1.30e-01    9.88e-01
   9  3.675168e+04    5.97e-10    3.80e-02   1.88e-04   7.95e-01  8.26e+07        1    1.39e-01    1.13e+00
iter      cost      cost_change  |gradient|   |step|    tr_ratio  tr_radius  ls_iter  iter_time  total_time
   0  3.688398e+04    0.00e+00    1.40e+04   0.00e+00   0.00e+00  1.00e+04        0    4.28e-02    1.78e-01
   1  3.681131e+04    7.27e+01    1.63e+02   2.26e+00   1.00e+00  3.00e+04        1    1.19e-01    2.97e-01
   2  3.681107e+04    2.36e-01    2.31e+02   1.29e+00   1.00e+00  9.00e+04        1    8.34e-02    3.80e-01
   3  3.681099e+04    8.13e-02    3.04e+01   1.27e+00   1.01e+00  2.70e+05        1    8.60e-02    4.66e-01
